vuln,experiment,time
5,16,0.24176310002803802
10,16,0.2726799000520259
20,16,0.3595138001255691
30,16,0.39647760009393096
40,16,0.44314500014297664
50,16,0.5177668000105768
60,16,0.5674233001191169
5,17,0.2468661000020802
10,17,0.2712199001107365
20,17,0.30253309989348054
30,17,0.3918727000709623
40,17,0.4258323998656124
50,17,0.5557160000316799
60,17,0.5710873999632895
5,18,0.23795800004154444
10,18,0.26488819997757673
20,18,0.29532499983906746
30,18,0.4001909999642521
40,18,0.4149728000629693
50,18,0.5077622001990676
60,18,0.5747082999441773
5,19,0.2628685999661684
10,19,0.2811215000692755
20,19,0.3182271998375654
30,19,0.3809529000427574
40,19,0.43133239983581007
50,19,0.5414531999267638
60,19,0.5577851000707597
5,20,0.22748430003412068
10,20,0.2679771000985056
20,20,0.31537159997969866
30,20,0.4294586000032723
40,20,0.4706945000216365
50,20,0.4932238000910729
60,20,0.5942565000150353
5,21,0.24948120000772178
10,21,0.27484020008705556
20,21,0.3207818998489529
30,21,0.36109689995646477
40,21,0.4270766999106854
50,21,0.5301500998903066
60,21,0.6425576999317855
5,22,0.22536349995061755
10,22,0.2756638000719249
20,22,0.39714880008250475
30,22,0.5117320998106152
40,22,0.6497347000986338
50,22,0.8771160999312997
60,22,0.8234413000755012
5,23,0.3482262999750674
10,23,0.3908086000010371
20,23,0.399732300080359
30,23,0.5741583998315036
40,23,0.6157928998582065
50,23,0.7512046999763697
60,23,0.6991512000095099
5,24,0.3316046998370439
10,24,0.42421520012430847
20,24,0.5325952998828143
30,24,0.652224900200963
40,24,0.6664643001277
50,24,0.8557841000147164
60,24,0.815241000149399
5,25,0.3097616999875754
10,25,0.34672660008072853
20,25,0.3841632001567632
30,25,0.5269039999693632
40,25,0.649730599950999
50,25,0.6696641000453383
60,25,0.8554896998684853
5,26,0.371792399790138
10,26,0.40554790012538433
20,26,0.4897600000258535
30,26,0.5253039998933673
40,26,0.61903619999066
50,26,0.6365346000529826
60,26,0.9213999998755753
5,27,0.3846654000226408
10,27,0.37578210001811385
20,27,0.4961188999004662
30,27,0.5334878000430763
40,27,0.598034500144422
50,27,0.7269081000704318
60,27,0.8156183001119643
5,28,0.4051373000256717
10,28,0.31766069983132184
20,28,0.38507530000060797
30,28,0.48189170006662607
40,28,0.5682901002001017
50,28,0.719652600120753
60,28,0.753311000065878
5,29,0.34842219995334744
10,29,0.3775191002059728
20,29,0.4084752998314798
30,29,0.5279157999902964
40,29,0.7351641999557614
50,29,0.652207599952817
60,29,0.7421566999983042
5,30,0.30613350006751716
10,30,0.3807685999199748
20,30,0.3540658999700099
30,30,0.5372270001098514
40,30,0.5703875999897718
50,30,0.7281221998855472
60,30,0.7679985999129713
5,31,0.29891390004195273
10,31,0.37096309987828135
20,31,0.4830797000322491
30,31,0.5260505999904126
40,31,0.5187802000436932
50,31,0.6883413998875767
60,31,0.6949450999964029
5,32,0.31510149990208447
10,32,0.36598440003581345
20,32,0.48363819997757673
30,32,0.49618280003778636
40,32,0.7862351001240313
50,32,0.6916749000083655
60,32,0.7481364998966455
5,33,0.2838858999311924
10,33,0.3689602999947965
20,33,0.48837090004235506
30,33,0.5474010000471026
40,33,0.5922011001966894
50,33,0.6232791000511497
60,33,0.7948416001163423
5,34,0.33432159991934896
10,34,0.38791910000145435
20,34,0.3689778000116348
30,34,0.5449111999478191
40,34,0.7658404000103474
50,34,0.7243495001457632
60,34,0.7760572000406682
5,35,0.3027808000333607
10,35,0.39983429992571473
20,35,0.4929197998717427
30,35,0.5616764998994768
40,35,0.7075159000232816
50,35,0.7618983001448214
60,35,0.755964299896732
5,36,0.28780570020899177
10,36,0.3546782999765128
20,36,0.41904429998248816
30,36,0.5254309000447392
40,36,0.6645621999632567
50,36,0.8209543998818845
60,36,0.9268120999913663
5,37,0.3279120000079274
10,37,0.40297020017169416
20,37,0.5341512998566031
30,37,0.6325095999054611
40,37,0.5598971999716014
50,37,0.5939781998749822
60,37,0.8990829000249505
5,38,0.2921866998076439
10,38,0.30678640003316104
20,38,0.41991460020653903
30,38,0.47301830002106726
40,38,0.6092320999596268
50,38,0.72041319985874
60,38,0.8015181999653578
5,39,0.3077581999823451
10,39,0.36229259986430407
20,39,0.5191610001493245
30,39,0.6048359998967499
40,39,0.6772742001339793
50,39,0.811217499896884
60,39,0.8825588999316096
5,40,0.28170219995081425
10,40,0.3304228000342846
20,40,0.49841009988449514
30,40,0.616892300080508
40,40,0.6921770998742431
50,40,0.8195939001161605
60,40,0.769829299999401
5,41,0.2810142000671476
10,41,0.4064274001866579
20,41,0.46074859984219074
30,41,0.48480580002069473
40,41,0.6396484000142664
50,41,0.7338523999787867
60,41,0.8305540999863297
5,42,0.26988289994187653
10,42,0.33294150000438094
20,42,0.37783989985473454
30,42,0.5297319001983851
40,42,0.6533357999287546
50,42,0.7276087000500411
60,42,0.762667499948293
5,43,0.43660360015928745
10,43,0.34026590012945235
20,43,0.41126209986396134
30,43,0.47796780010685325
40,43,0.5732325999997556
50,43,0.6832855001557618
60,43,0.6774599999189377
5,44,0.369284899905324
10,44,0.3962352001108229
20,44,0.41808150010183454
30,44,0.45229390007443726
40,44,0.6161096999421716
50,44,0.537681199843064
60,44,0.5740883001126349
5,45,0.24838609993457794
10,45,0.2922234002035111
20,45,0.3246979000978172
30,45,0.36173930019140244
40,45,0.4317918000742793
50,45,0.6302364999428391
60,45,0.7795909999404103
5,46,0.2838596999645233
10,46,0.384257199941203
20,46,0.40711039979942143
30,46,0.6485612001270056
40,46,0.6293614001479
50,46,0.5945858999621123
60,46,0.7886447999626398
5,47,0.36199999996460974
10,47,0.41282119997777045
20,47,0.468057099962607
30,47,0.6162878000177443
40,47,0.542464799946174
50,47,0.7213179999962449
60,47,0.8971952002029866
5,48,0.32982480013743043
10,48,0.44730340014211833
20,48,0.510981900151819
30,48,0.6019732998684049
40,48,0.6823535999283195
50,48,0.7311997001525015
60,48,0.8783537000417709
5,49,0.29998099990189075
10,49,0.45367700001224875
20,49,0.5202691999729723
30,49,0.6184570000041276
40,49,0.6714702998287976
50,49,0.7033881000243127
60,49,0.8422395000234246
5,50,0.29412780003622174
10,50,0.42885029991157353
20,50,0.5307981001678854
30,50,0.5232576997950673
40,50,0.6885384998749942
50,50,0.6462854999117553
60,50,0.8480104999616742
5,51,0.2883661000523716
10,51,0.3213565999176353
20,51,0.4976210000459105
30,51,0.5297390001360327
40,51,0.6019894001074135
50,51,0.7832152999471873
60,51,0.875854899873957
5,52,0.2885022000409663
10,52,0.32958729984238744
20,52,0.46456480002962053
30,52,0.49188519991002977
40,52,0.5565021999645978
50,52,0.7349505999591202
60,52,0.7857073999475688
5,53,0.3283387999981642
10,53,0.34671750012785196
20,53,0.40719719999469817
30,53,0.5289297001436353
40,53,0.6340279001742601
50,53,0.6513342999387532
60,53,0.7502643000334501
5,54,0.3049202000256628
10,54,0.42574680014513433
20,54,0.42596929986029863
30,54,0.5627425999846309
40,54,0.6363266999833286
50,54,0.7939104000106454
60,54,0.803116099908948
5,55,0.3190402998588979
10,55,0.3807898999657482
20,55,0.46745860017836094
30,55,0.5864371000789106
40,55,0.6365337001625448
50,55,0.7505939998663962
60,55,0.8287034998647869
5,56,0.2980820999946445
10,56,0.368644000031054
20,56,0.520716099999845
30,56,0.5431299000047147
40,56,0.5769027001224458
50,56,0.619001500075683
60,56,0.792747899889946
5,57,0.3557992000132799
10,57,0.4761100001633167
20,57,0.4340506000444293
30,57,0.5074982000514865
40,57,0.6491098999977112
50,57,0.6887116997968405
60,57,0.7089044000022113
5,58,0.3487046000082046
10,58,0.41929390002042055
20,58,0.4336663999129087
30,58,0.5271054999902844
40,58,0.6679367998149246
50,58,0.7339735999703407
60,58,0.7502497001551092
5,59,0.3438202999532223
10,59,0.39527529990300536
20,59,0.48699130001477897
30,59,0.5312566000502557
40,59,0.5893568000756204
50,59,0.6154342999216169
60,59,0.7413654001429677
5,60,0.36384069989435375
10,60,0.33724449994042516
20,60,0.37663220008835196
30,60,0.4793097001966089
40,60,0.5155589000787586
50,60,0.7451655000913888
